Nama,Khasiat,Produsen,Kategori,Khasiat_Length,Case_folding,punctuation_removal,tokenizing,stopwordremoval,stemming
Galian singset ++,"mengurangi kelebihan lemak (kolesterol) dalam tubuh, mengecilkan perut, menjaga bentuk tubuh yang ideal, menjaga penampilan selalu awet muda, membantu mengurangi lemak di tubuh, melangsingkan badan, membuat tampil seksi dan percaya diri, menormalkan BAB yang tidak lancar",PT. Firdaus,Jamu Perawatan Kewanitaan,271,"mengurangi kelebihan lemak (kolesterol) dalam tubuh, mengecilkan perut, menjaga bentuk tubuh yang ideal, menjaga penampilan selalu awet muda, membantu mengurangi lemak di tubuh, melangsingkan badan, membuat tampil seksi dan percaya diri, menormalkan bab yang tidak lancar",mengurangi kelebihan lemak kolesterol dalam tubuh mengecilkan perut menjaga bentuk tubuh yang ideal menjaga penampilan selalu awet muda membantu mengurangi lemak di tubuh melangsingkan badan membuat tampil seksi dan percaya diri menormalkan bab yang tidak lancar,"['mengurangi', 'kelebihan', 'lemak', 'kolesterol', 'dalam', 'tubuh', 'mengecilkan', 'perut', 'menjaga', 'bentuk', 'tubuh', 'yang', 'ideal', 'menjaga', 'penampilan', 'selalu', 'awet', 'muda', 'membantu', 'mengurangi', 'lemak', 'di', 'tubuh', 'melangsingkan', 'badan', 'membuat', 'tampil', 'seksi', 'dan', 'percaya', 'diri', 'menormalkan', 'bab', 'yang', 'tidak', 'lancar']","['mengurangi', 'kelebihan', 'lemak', 'kolesterol', 'tubuh', 'mengecilkan', 'perut', 'menjaga', 'bentuk', 'tubuh', 'ideal', 'menjaga', 'penampilan', 'awet', 'muda', 'membantu', 'mengurangi', 'lemak', 'tubuh', 'melangsingkan', 'badan', 'tampil', 'seksi', 'percaya', 'menormalkan', 'bab', 'lancar']","['kurang', 'lebih', 'lemak', 'kolesterol', 'tubuh', 'kecil', 'perut', 'jaga', 'bentuk', 'tubuh', 'ideal', 'jaga', 'tampil', 'awet', 'muda', 'bantu', 'kurang', 'lemak', 'tubuh', 'langsing', 'badan', 'tampil', 'seksi', 'percaya', 'normal', 'bab', 'lancar']"
asi booster,"melancarkan asi, menyegarkan badan muka tidak pucat, menyehatkan ibu dan bayi yang dilahirkan, menuntaskan sisa darah, meningkatkan kualitas nutrisi dalam asi",PT. Firdaus,Jamu Perawatan Kewanitaan,158,"melancarkan asi, menyegarkan badan muka tidak pucat, menyehatkan ibu dan bayi yang dilahirkan, menuntaskan sisa darah, meningkatkan kualitas nutrisi dalam asi",melancarkan asi menyegarkan badan muka tidak pucat menyehatkan ibu dan bayi yang dilahirkan menuntaskan sisa darah meningkatkan kualitas nutrisi dalam asi,"['melancarkan', 'asi', 'menyegarkan', 'badan', 'muka', 'tidak', 'pucat', 'menyehatkan', 'ibu', 'dan', 'bayi', 'yang', 'dilahirkan', 'menuntaskan', 'sisa', 'darah', 'meningkatkan', 'kualitas', 'nutrisi', 'dalam', 'asi']","['melancarkan', 'asi', 'menyegarkan', 'badan', 'muka', 'pucat', 'menyehatkan', 'bayi', 'dilahirkan', 'menuntaskan', 'sisa', 'darah', 'meningkatkan', 'kualitas', 'nutrisi', 'asi']","['lancar', 'asi', 'segar', 'badan', 'muka', 'pucat', 'sehat', 'bayi', 'lahir', 'tuntas', 'sisa', 'darah', 'tingkat', 'kualitas', 'nutrisi', 'asi']"
gadis remaja,"menghilangkan bau badan yang kurang sedap, mencegah timbulnya jerawat, menyembuhkan keputihan, menjaga bentuk tubuh tetap ideal",PT. Firdaus,Jamu Perawatan Kewanitaan,127,"menghilangkan bau badan yang kurang sedap, mencegah timbulnya jerawat, menyembuhkan keputihan, menjaga bentuk tubuh tetap ideal",menghilangkan bau badan yang kurang sedap mencegah timbulnya jerawat menyembuhkan keputihan menjaga bentuk tubuh tetap ideal,"['menghilangkan', 'bau', 'badan', 'yang', 'kurang', 'sedap', 'mencegah', 'timbulnya', 'jerawat', 'menyembuhkan', 'keputihan', 'menjaga', 'bentuk', 'tubuh', 'tetap', 'ideal']","['menghilangkan', 'bau', 'badan', 'sedap', 'mencegah', 'timbulnya', 'jerawat', 'menyembuhkan', 'keputihan', 'menjaga', 'bentuk', 'tubuh', 'ideal']","['hilang', 'bau', 'badan', 'sedap', 'cegah', 'timbul', 'jerawat', 'sembuh', 'putih', 'jaga', 'bentuk', 'tubuh', 'ideal']"
empot-empot,"menambah kemesraan dan keharmonisan keluarga, kembali muda bagaikan gadis remaja, membuat suami makin sayang sama istri, kenikmatan dan kepuasan selalu menjelma",PT. Firdaus,Jamu Pasutri,160,"menambah kemesraan dan keharmonisan keluarga, kembali muda bagaikan gadis remaja, membuat suami makin sayang sama istri, kenikmatan dan kepuasan selalu menjelma",menambah kemesraan dan keharmonisan keluarga kembali muda bagaikan gadis remaja membuat suami makin sayang sama istri kenikmatan dan kepuasan selalu menjelma,"['menambah', 'kemesraan', 'dan', 'keharmonisan', 'keluarga', 'kembali', 'muda', 'bagaikan', 'gadis', 'remaja', 'membuat', 'suami', 'makin', 'sayang', 'sama', 'istri', 'kenikmatan', 'dan', 'kepuasan', 'selalu', 'menjelma']","['menambah', 'kemesraan', 'keharmonisan', 'keluarga', 'muda', 'gadis', 'remaja', 'suami', 'sayang', 'istri', 'kenikmatan', 'kepuasan', 'menjelma']","['tambah', 'mesra', 'harmonis', 'keluarga', 'muda', 'gadis', 'remaja', 'suami', 'sayang', 'istri', 'nikmat', 'puas', 'jelma']"
sehat lelaki,"menambah semangat stamina saat berhubungan dan kesehatan, menguatkan dan menghangatkan badan, pegal linu otot kaku dan lesu",PT. Firdaus,Jamu Pasutri,123,"menambah semangat stamina saat berhubungan dan kesehatan, menguatkan dan menghangatkan badan, pegal linu otot kaku dan lesu",menambah semangat stamina saat berhubungan dan kesehatan menguatkan dan menghangatkan badan pegal linu otot kaku dan lesu,"['menambah', 'semangat', 'stamina', 'saat', 'berhubungan', 'dan', 'kesehatan', 'menguatkan', 'dan', 'menghangatkan', 'badan', 'pegal', 'linu', 'otot', 'kaku', 'dan', 'lesu']","['menambah', 'semangat', 'stamina', 'berhubungan', 'kesehatan', 'menguatkan', 'menghangatkan', 'badan', 'pegal', 'linu', 'otot', 'kaku', 'lesu']","['tambah', 'semangat', 'stamina', 'hubung', 'sehat', 'kuat', 'hangat', 'badan', 'pegal', 'linu', 'otot', 'kaku', 'lesu']"
rapet harum asmara,"merapatkan dan melenturkan miss v, mengatasi bau tak sedap, serta gatal - gatal disekitar organ intim, mengatasi cairan berlebih, mengharumkan area vagina, menjaga keharmonisan hubungan suami istri, menyembuhkan keputihan, serta gejalanya",PT. Firdaus,Jamu Pasutri,238,"merapatkan dan melenturkan miss v, mengatasi bau tak sedap, serta gatal - gatal disekitar organ intim, mengatasi cairan berlebih, mengharumkan area vagina, menjaga keharmonisan hubungan suami istri, menyembuhkan keputihan, serta gejalanya",merapatkan dan melenturkan miss v mengatasi bau tak sedap serta gatal  gatal disekitar organ intim mengatasi cairan berlebih mengharumkan area vagina menjaga keharmonisan hubungan suami istri menyembuhkan keputihan serta gejalanya,"['merapatkan', 'dan', 'melenturkan', 'miss', 'v', 'mengatasi', 'bau', 'tak', 'sedap', 'serta', 'gatal', 'gatal', 'disekitar', 'organ', 'intim', 'mengatasi', 'cairan', 'berlebih', 'mengharumkan', 'area', 'vagina', 'menjaga', 'keharmonisan', 'hubungan', 'suami', 'istri', 'menyembuhkan', 'keputihan', 'serta', 'gejalanya']","['merapatkan', 'melenturkan', 'miss', 'v', 'mengatasi', 'bau', 'sedap', 'gatal', 'gatal', 'disekitar', 'organ', 'intim', 'mengatasi', 'cairan', 'berlebih', 'mengharumkan', 'area', 'vagina', 'menjaga', 'keharmonisan', 'hubungan', 'suami', 'istri', 'menyembuhkan', 'keputihan', 'gejalanya']","['rapat', 'lentur', 'miss', 'v', 'atas', 'bau', 'sedap', 'gatal', 'gatal', 'sekitar', 'organ', 'intim', 'atas', 'cair', 'lebih', 'harum', 'area', 'vagina', 'jaga', 'harmonis', 'hubung', 'suami', 'istri', 'sembuh', 'putih', 'gejala']"
feminia,"menjaga miss v tetap keset elastis, menambah libido, menghilangkan bau badan dan miss v yang kurang sedap, menyembuhkan keputihan, menjaga payudara tetap kenyal dan montok, melindungi rahim dari berbagai virus, menormalkan hormon estrogen, menghangatkan badan, mengurangi pegal - pegal / linu",PT. Firdaus,Jamu Perawatan Kewanitaan,292,"menjaga miss v tetap keset elastis, menambah libido, menghilangkan bau badan dan miss v yang kurang sedap, menyembuhkan keputihan, menjaga payudara tetap kenyal dan montok, melindungi rahim dari berbagai virus, menormalkan hormon estrogen, menghangatkan badan, mengurangi pegal - pegal / linu",menjaga miss v tetap keset elastis menambah libido menghilangkan bau badan dan miss v yang kurang sedap menyembuhkan keputihan menjaga payudara tetap kenyal dan montok melindungi rahim dari berbagai virus menormalkan hormon estrogen menghangatkan badan mengurangi pegal  pegal  linu,"['menjaga', 'miss', 'v', 'tetap', 'keset', 'elastis', 'menambah', 'libido', 'menghilangkan', 'bau', 'badan', 'dan', 'miss', 'v', 'yang', 'kurang', 'sedap', 'menyembuhkan', 'keputihan', 'menjaga', 'payudara', 'tetap', 'kenyal', 'dan', 'montok', 'melindungi', 'rahim', 'dari', 'berbagai', 'virus', 'menormalkan', 'hormon', 'estrogen', 'menghangatkan', 'badan', 'mengurangi', 'pegal', 'pegal', 'linu']","['menjaga', 'miss', 'v', 'keset', 'elastis', 'menambah', 'libido', 'menghilangkan', 'bau', 'badan', 'miss', 'v', 'sedap', 'menyembuhkan', 'keputihan', 'menjaga', 'payudara', 'kenyal', 'montok', 'melindungi', 'rahim', 'virus', 'menormalkan', 'hormon', 'estrogen', 'menghangatkan', 'badan', 'mengurangi', 'pegal', 'pegal', 'linu']","['jaga', 'miss', 'v', 'keset', 'elastis', 'tambah', 'libido', 'hilang', 'bau', 'badan', 'miss', 'v', 'sedap', 'sembuh', 'putih', 'jaga', 'payudara', 'kenyal', 'montok', 'lindung', 'rahim', 'virus', 'normal', 'hormon', 'estrogen', 'hangat', 'badan', 'kurang', 'pegal', 'pegal', 'linu']"
awet muda,"memulihkan elastisitas organ intim wanita ( kencangkan otot miss v), menghilangkan gatal - gatal, keputihan dan bau kurang menyenangkan, mencegah penuaan dini, menstabilkan PH asam dan mengurangi cairan ( basah) berlebihan, meningkatkan hormon estrogen, peremajaan tubuh usai melahirkan / haid, mencegah kanker vagina dan kanker payudara",PT. Firdaus,Jamu Perawatan Kewanitaan,337,"memulihkan elastisitas organ intim wanita ( kencangkan otot miss v), menghilangkan gatal - gatal, keputihan dan bau kurang menyenangkan, mencegah penuaan dini, menstabilkan ph asam dan mengurangi cairan ( basah) berlebihan, meningkatkan hormon estrogen, peremajaan tubuh usai melahirkan / haid, mencegah kanker vagina dan kanker payudara",memulihkan elastisitas organ intim wanita  kencangkan otot miss v menghilangkan gatal  gatal keputihan dan bau kurang menyenangkan mencegah penuaan dini menstabilkan ph asam dan mengurangi cairan  basah berlebihan meningkatkan hormon estrogen peremajaan tubuh usai melahirkan  haid mencegah kanker vagina dan kanker payudara,"['memulihkan', 'elastisitas', 'organ', 'intim', 'wanita', 'kencangkan', 'otot', 'miss', 'v', 'menghilangkan', 'gatal', 'gatal', 'keputihan', 'dan', 'bau', 'kurang', 'menyenangkan', 'mencegah', 'penuaan', 'dini', 'menstabilkan', 'ph', 'asam', 'dan', 'mengurangi', 'cairan', 'basah', 'berlebihan', 'meningkatkan', 'hormon', 'estrogen', 'peremajaan', 'tubuh', 'usai', 'melahirkan', 'haid', 'mencegah', 'kanker', 'vagina', 'dan', 'kanker', 'payudara']","['memulihkan', 'elastisitas', 'organ', 'intim', 'wanita', 'kencangkan', 'otot', 'miss', 'v', 'menghilangkan', 'gatal', 'gatal', 'keputihan', 'bau', 'menyenangkan', 'mencegah', 'penuaan', 'menstabilkan', 'ph', 'asam', 'mengurangi', 'cairan', 'basah', 'meningkatkan', 'hormon', 'estrogen', 'peremajaan', 'tubuh', 'melahirkan', 'haid', 'mencegah', 'kanker', 'vagina', 'kanker', 'payudara']","['pulih', 'elastisitas', 'organ', 'intim', 'wanita', 'kencang', 'otot', 'miss', 'v', 'hilang', 'gatal', 'gatal', 'putih', 'bau', 'senang', 'cegah', 'tua', 'stabil', 'ph', 'asam', 'kurang', 'cair', 'basah', 'tingkat', 'hormon', 'estrogen', 'remaja', 'tubuh', 'lahir', 'haid', 'cegah', 'kanker', 'vagina', 'kanker', 'payudara']"
jakiat,"memperbaiki stamina pria, meningkatkan kebugaran tubuh dalam hubungan pasutri, membantu mengatasi ejakulasi dini, mengentalkan sperma, menambah kejantanan pria",PT. Firdaus,Jamu Pasutri,159,"memperbaiki stamina pria, meningkatkan kebugaran tubuh dalam hubungan pasutri, membantu mengatasi ejakulasi dini, mengentalkan sperma, menambah kejantanan pria",memperbaiki stamina pria meningkatkan kebugaran tubuh dalam hubungan pasutri membantu mengatasi ejakulasi dini mengentalkan sperma menambah kejantanan pria,"['memperbaiki', 'stamina', 'pria', 'meningkatkan', 'kebugaran', 'tubuh', 'dalam', 'hubungan', 'pasutri', 'membantu', 'mengatasi', 'ejakulasi', 'dini', 'mengentalkan', 'sperma', 'menambah', 'kejantanan', 'pria']","['memperbaiki', 'stamina', 'pria', 'meningkatkan', 'kebugaran', 'tubuh', 'hubungan', 'pasutri', 'membantu', 'mengatasi', 'ejakulasi', 'mengentalkan', 'sperma', 'menambah', 'kejantanan', 'pria']","['baik', 'stamina', 'pria', 'tingkat', 'bugar', 'tubuh', 'hubung', 'pasutri', 'bantu', 'atas', 'ejakulasi', 'kental', 'sperma', 'tambah', 'jantan', 'pria']"
sirih wangi,"menghilangkan bau badan dan mulut, menyembuhkan radang tenggorokan dan gusi, mengatasi keputihan, menyembuhkan jerawat, menghaluskan kulit, melancarkan air seni, penambah tenaga/ stamina, mengurangi keringat berlebih, mengatasi penyakit kulit /gatal - gatal",PT. Firdaus,Jamu Kesehatan,257,"menghilangkan bau badan dan mulut, menyembuhkan radang tenggorokan dan gusi, mengatasi keputihan, menyembuhkan jerawat, menghaluskan kulit, melancarkan air seni, penambah tenaga/ stamina, mengurangi keringat berlebih, mengatasi penyakit kulit /gatal - gatal",menghilangkan bau badan dan mulut menyembuhkan radang tenggorokan dan gusi mengatasi keputihan menyembuhkan jerawat menghaluskan kulit melancarkan air seni penambah tenaga stamina mengurangi keringat berlebih mengatasi penyakit kulit gatal  gatal,"['menghilangkan', 'bau', 'badan', 'dan', 'mulut', 'menyembuhkan', 'radang', 'tenggorokan', 'dan', 'gusi', 'mengatasi', 'keputihan', 'menyembuhkan', 'jerawat', 'menghaluskan', 'kulit', 'melancarkan', 'air', 'seni', 'penambah', 'tenaga', 'stamina', 'mengurangi', 'keringat', 'berlebih', 'mengatasi', 'penyakit', 'kulit', 'gatal', 'gatal']","['menghilangkan', 'bau', 'badan', 'mulut', 'menyembuhkan', 'radang', 'tenggorokan', 'gusi', 'mengatasi', 'keputihan', 'menyembuhkan', 'jerawat', 'menghaluskan', 'kulit', 'melancarkan', 'air', 'seni', 'penambah', 'tenaga', 'stamina', 'mengurangi', 'keringat', 'berlebih', 'mengatasi', 'penyakit', 'kulit', 'gatal', 'gatal']","['hilang', 'bau', 'badan', 'mulut', 'sembuh', 'radang', 'tenggorok', 'gusi', 'atas', 'putih', 'sembuh', 'jerawat', 'halus', 'kulit', 'lancar', 'air', 'seni', 'tambah', 'tenaga', 'stamina', 'kurang', 'keringat', 'lebih', 'atas', 'sakit', 'kulit', 'gatal', 'gatal']"
Rapet Wangi,membantu mengurangi lendir yang berlebihan pada daerah kewanitaan,PT. Firdaus,Jamu Perawatan Kewanitaan,65,membantu mengurangi lendir yang berlebihan pada daerah kewanitaan,membantu mengurangi lendir yang berlebihan pada daerah kewanitaan,"['membantu', 'mengurangi', 'lendir', 'yang', 'berlebihan', 'pada', 'daerah', 'kewanitaan']","['membantu', 'mengurangi', 'lendir', 'daerah', 'kewanitaan']","['bantu', 'kurang', 'lendir', 'daerah', 'wanita']"
bersih darah,"melancarkan peredaran darah di dalam tubuh, membersihkan darah kotor yang ada di dalam tubuh, mengatasi gatal - gatal pada kulit, mengatasi / meringankan bisul, mengobati korengan dan beberapa masalah kulit lainnya, menyembuhkan serta mencegah jerawat",PT. Firdaus,Jamu Kesehatan,251,"melancarkan peredaran darah di dalam tubuh, membersihkan darah kotor yang ada di dalam tubuh, mengatasi gatal - gatal pada kulit, mengatasi / meringankan bisul, mengobati korengan dan beberapa masalah kulit lainnya, menyembuhkan serta mencegah jerawat",melancarkan peredaran darah di dalam tubuh membersihkan darah kotor yang ada di dalam tubuh mengatasi gatal  gatal pada kulit mengatasi  meringankan bisul mengobati korengan dan beberapa masalah kulit lainnya menyembuhkan serta mencegah jerawat,"['melancarkan', 'peredaran', 'darah', 'di', 'dalam', 'tubuh', 'membersihkan', 'darah', 'kotor', 'yang', 'ada', 'di', 'dalam', 'tubuh', 'mengatasi', 'gatal', 'gatal', 'pada', 'kulit', 'mengatasi', 'meringankan', 'bisul', 'mengobati', 'korengan', 'dan', 'beberapa', 'masalah', 'kulit', 'lainnya', 'menyembuhkan', 'serta', 'mencegah', 'jerawat']","['melancarkan', 'peredaran', 'darah', 'tubuh', 'membersihkan', 'darah', 'kotor', 'tubuh', 'mengatasi', 'gatal', 'gatal', 'kulit', 'mengatasi', 'meringankan', 'bisul', 'mengobati', 'korengan', 'kulit', 'menyembuhkan', 'mencegah', 'jerawat']","['lancar', 'edar', 'darah', 'tubuh', 'bersih', 'darah', 'kotor', 'tubuh', 'atas', 'gatal', 'gatal', 'kulit', 'atas', 'ringan', 'bisul', 'obat', 'koreng', 'kulit', 'sembuh', 'cegah', 'jerawat']"
kencing manis,"mengobati kencing manis, menurunkan kadar gula seperti sering terasa haus, sering kencing terutama di malam hari",PT. Firdaus,Jamu Kesehatan,112,"mengobati kencing manis, menurunkan kadar gula seperti sering terasa haus, sering kencing terutama di malam hari",mengobati kencing manis menurunkan kadar gula seperti sering terasa haus sering kencing terutama di malam hari,"['mengobati', 'kencing', 'manis', 'menurunkan', 'kadar', 'gula', 'seperti', 'sering', 'terasa', 'haus', 'sering', 'kencing', 'terutama', 'di', 'malam', 'hari']","['mengobati', 'kencing', 'manis', 'menurunkan', 'kadar', 'gula', 'haus', 'kencing', 'malam']","['obat', 'kencing', 'manis', 'turun', 'kadar', 'gula', 'haus', 'kencing', 'malam']"
sari rapet,"menambah gairah hubungan suami istri, mengobati keputihan dan gejalanya seperti berair, berlendir, berbau, merapatkan otot - otot vagina",PT. Firdaus,Jamu Pasutri,136,"menambah gairah hubungan suami istri, mengobati keputihan dan gejalanya seperti berair, berlendir, berbau, merapatkan otot - otot vagina",menambah gairah hubungan suami istri mengobati keputihan dan gejalanya seperti berair berlendir berbau merapatkan otot  otot vagina,"['menambah', 'gairah', 'hubungan', 'suami', 'istri', 'mengobati', 'keputihan', 'dan', 'gejalanya', 'seperti', 'berair', 'berlendir', 'berbau', 'merapatkan', 'otot', 'otot', 'vagina']","['menambah', 'gairah', 'hubungan', 'suami', 'istri', 'mengobati', 'keputihan', 'gejalanya', 'berair', 'berlendir', 'berbau', 'merapatkan', 'otot', 'otot', 'vagina']","['tambah', 'gairah', 'hubung', 'suami', 'istri', 'obat', 'putih', 'gejala', 'air', 'lendir', 'bau', 'rapat', 'otot', 'otot', 'vagina']"
delima putih,"mencegah dan mengobati keputihan seperti muka pucat tidak bergairah sakit pinggang mengurangi lendir serta menghilangkan bau (keringat) kurang sedap, merapatkan vagina pemakaian secara teratur maka wajah bercahaya cantik & awet muda",PT. Firdaus,Jamu Perawatan Kewanitaan,232,"mencegah dan mengobati keputihan seperti muka pucat tidak bergairah sakit pinggang mengurangi lendir serta menghilangkan bau (keringat) kurang sedap, merapatkan vagina pemakaian secara teratur maka wajah bercahaya cantik & awet muda",mencegah dan mengobati keputihan seperti muka pucat tidak bergairah sakit pinggang mengurangi lendir serta menghilangkan bau keringat kurang sedap merapatkan vagina pemakaian secara teratur maka wajah bercahaya cantik  awet muda,"['mencegah', 'dan', 'mengobati', 'keputihan', 'seperti', 'muka', 'pucat', 'tidak', 'bergairah', 'sakit', 'pinggang', 'mengurangi', 'lendir', 'serta', 'menghilangkan', 'bau', 'keringat', 'kurang', 'sedap', 'merapatkan', 'vagina', 'pemakaian', 'secara', 'teratur', 'maka', 'wajah', 'bercahaya', 'cantik', 'awet', 'muda']","['mencegah', 'mengobati', 'keputihan', 'muka', 'pucat', 'bergairah', 'sakit', 'pinggang', 'mengurangi', 'lendir', 'menghilangkan', 'bau', 'keringat', 'sedap', 'merapatkan', 'vagina', 'pemakaian', 'teratur', 'wajah', 'bercahaya', 'cantik', 'awet', 'muda']","['cegah', 'obat', 'putih', 'muka', 'pucat', 'gairah', 'sakit', 'pinggang', 'kurang', 'lendir', 'hilang', 'bau', 'keringat', 'sedap', 'rapat', 'vagina', 'pakai', 'atur', 'wajah', 'cahaya', 'cantik', 'awet', 'muda']"
empot-empot love,"mengencangkan organ intim (rapet), mengencangkan kulit, menambah libido, atasi payudara kendur, membersihkan bakteri dan jamur (keputihan), mengobati kista, mencegah kanker payudara menguatkan pinggang, melancarkan datang bulan",PT. Firdaus,Jamu Pasutri,227,"mengencangkan organ intim (rapet), mengencangkan kulit, menambah libido, atasi payudara kendur, membersihkan bakteri dan jamur (keputihan), mengobati kista, mencegah kanker payudara menguatkan pinggang, melancarkan datang bulan",mengencangkan organ intim rapet mengencangkan kulit menambah libido atasi payudara kendur membersihkan bakteri dan jamur keputihan mengobati kista mencegah kanker payudara menguatkan pinggang melancarkan datang bulan,"['mengencangkan', 'organ', 'intim', 'rapet', 'mengencangkan', 'kulit', 'menambah', 'libido', 'atasi', 'payudara', 'kendur', 'membersihkan', 'bakteri', 'dan', 'jamur', 'keputihan', 'mengobati', 'kista', 'mencegah', 'kanker', 'payudara', 'menguatkan', 'pinggang', 'melancarkan', 'datang', 'bulan']","['mengencangkan', 'organ', 'intim', 'rapet', 'mengencangkan', 'kulit', 'menambah', 'libido', 'atasi', 'payudara', 'kendur', 'membersihkan', 'bakteri', 'jamur', 'keputihan', 'mengobati', 'kista', 'mencegah', 'kanker', 'payudara', 'menguatkan', 'pinggang', 'melancarkan']","['encang', 'organ', 'intim', 'rapet', 'encang', 'kulit', 'tambah', 'libido', 'atas', 'payudara', 'kendur', 'bersih', 'bakteri', 'jamur', 'putih', 'obat', 'kista', 'cegah', 'kanker', 'payudara', 'kuat', 'pinggang', 'lancar']"
